geonameid,name,asciiname,alternatenames,latitude,longitude,country_code,population,timezone,tz_offset_min,metro_tier,slug,bbox_wkt
3448439,São Paulo,Sao Paulo,"SAO,Sampa,San Paolo,San Paul ed Brasil,San Paulas,San Paulo,San Paulu,San Paulu du Brasili,San Paulu dû Brasili,San Pauluw,San Pawlo,San Polo del Braxil,San Poulo,San Poło del Braxil,San Pàul ëd Brasil,San-Paulo,San-Paulu,San-Paŭlo,Sanpaulu,Sao Paolo,Sao Paulo,Sao Paulo capital,Saun Paulu,Sawo Palo,Sawo Pålo,São Paolo,São Paulo,São Paulo capital,Urbs Paulistana,cavo pavulo,sa'o pa'ulo,sa'o paulo,samu pa'ulu,sangpaollo,sangpaollu,sangpaullo,sangpaullu,sankt. paulos,sanpauro,savea pealea,savo palo,saw bawlw,saw palw,saw pwlw,saywpaywlw,sea pea lu,sheng bao luo,Σάο Πάολο,Сан Пауло,Сан Паулу,Сан-Паулу,Сан-Паўлу,Сао Паоло,Сао Пауло,Սան Պաուլու,סאו פאולא,סאו פאולו,ساؤ پالو,ساؤ پولو,سائوپائولو,ساو باولو,ܣܐܘ ܦܐܘܠܘ,ސައޮ ޕައުލޯ,साओ पाउलो,সাঁউ পাউলু,সাও পাউলো,சாவோ பாவுலோ,శఒ పౌలొ,ಸಾವೊ ಪಾಲೊ,സാവോ പോളോ,เซาเปาลู,ဆောပိုလိုမြို့,სან-პაულუ,ሳው ፓውሉ,サンパウロ,圣保罗,聖保羅,상파올로,상파올루,상파울로,상파울루",-23.5475,-46.63611,BR,12400232,America/Sao_Paulo,-180,1,sao-paulo-br,
3530597,Mexico City,Mexico City,"Cdmx,Cidade de Mexico,Cidade de México,Cidade do Mexico,Cidade do México,Cita du Messicu,Citta del Messico,Città del Messico,Cità dû Messicu,Cità dû Mèssicu,Ciudad Mexico,Ciudad de Mejico,Ciudad de Mexico,Ciudad de Méjico,Ciudad de México,Ciutat de Mexic,Ciutat de Mèxic,Grad Mexico,Lungsod ng Mexico,Lungsod ng México,MEX,Mehiko,Mekhiko,Meksikas,Meksiko,Meksiko Siti,Meksikurbo,Meksyk,Mexico,Mexico City,Mexico D.F.,Mexico DF,Mexico Distrito Federal,Mexico by,Mexico-stad,Mexicopolis,Mexiko,Mexiko Hiria,Mexiko-Stadt,Mexikoborg,Mexíkóborg,México,México Distrito Federal,Nkoyo,Pole tou Mexikou,Valle de Mexico,Valle de México,mdynt mksykw,megsiko si,megsikositi,mekishikoshiti,meksiko,meksiko siti,meksikositi,mkzykw,mkzykwsyty,mo xi ge cheng,mqsyqw syty,Πόλη του Μεξικού,Мексико,Мексико Сити,Мехико,Мехіко,מקסיקו סיטי,مدينة مكسيكو,مکزیکو,مکزیکوسیتی,مېكسىكا شەھىرى,मेक्सिको सिटी,মেক্সিকো,เม็กซิโกซิตี,მეხიკო,メキシコシティ,墨西哥城,멕시코 시,멕시코시티",19.42847,-99.12766,MX,12294193,America/Mexico_City,-360,1,mexico-city-mx,
1174872,Karachi,Karachi,"Carachi,KHI,Karaaji,Karaces,Karachi,Karachy,Karaci,Karacio,Karacis,Karacsi,Karaczi,Karanchi,Karasi,Karatschi,Karatsi,Karatsji,Karatxi,Karaçi,Karaĉio,Karači,Karačis,Karačės,Karochi,Karáči,Karáčí,Karâchi,Karāchi,Karāči,Keraci,Keraçî,Kurrachee,Kurrachi,Kəraçi,ka la qi,ka ra ci,kalachi,karaaci,karacci,karachi,karachy,karaci,karatshy,ke la chi,krachy,kratshy,pechs,qrʼzy,Καράτσι,Карачи,Карачы,Карачі,Կարաչի,קאראטשי,קראצי,كاراتشى,كاراچى,كراتشي,کراچی,کراچۍ,کَرٲچی,کەراچی,ڪراچي,ކަރާޗީ,कराची,করাচী,কৰাচী,ਕਰਾਚੀ,કરાચી,କରାଚୀ,கராச்சி,కరాచీ,ಕರಾಚಿ,കറാച്ചി,การาจี,ཀ་ར་ཆི,ကရာချိမြို့,კარაჩი,ከራቺ,カラチ,カラーチー,卡拉奇,喀拉蚩,카라치",24.8608,67.0104,PK,11624219,Asia/Karachi,300,1,karachi-pk,
1792947,Tianjin,Tianjin,"T'ien-chin,T'ien-ching,T'ien-ching-shih,TSN,Tchien-tin,Tchien-ťin,Tehnd'iin,Thien Tan,Thien-tsin,Thiên Tân,Thiên-tsîn,Tiandzinas,Tianjin,Tianjin Shi,Tianjing,Tianjín,Tiantzin,Tiencin,Tiencsin,Tiendzin,Tientsin,Tiençin,Tjan'czin',Tjandzin,Tjandzina,Tjandžin,Tjangino,Tjanĝino,Tjaņdziņa,Tjencin,Tyantszin,T’ien-chin,T’ien-ching,T’ien-ching-shih,cheonjin,theiyn cin,ti'anjina,tian jin,tian jin shi,tiyanjin,tyanjina,tyanjn,tyanjyn,tyenjin si,tyyng'yn,Τιαντζίν,Тиендзин,Тэндьиин,Тяньцзинь,Тяньцзінь,Тјенцин,טיינג'ין,تيانجين,تيەنجىن شەھىرى,تیانجن,تیانجین,तिआंजिन,त्यांजिन,ਤਿਆਂਜਿਨ,தியான்ஜின்,ടിയാൻജിൻ,เทียนจิน,ཐན་ཅིན ་གྲོང་ཁྱེར།,ထျန်းကျင်းမြို့,ტიანძინი,天津,天津市,천진,톈진 시",39.14222,117.17667,CN,11090314,Asia/Shanghai,480,1,tianjin-cn,
1273294,Delhi,Delhi,"DEL,Daehli,Dehli,Dehlī,Delchi,Delhi,Delhio,Delhí,Delhî,Deli,Delis,Delkhi,Dellium,Delí,Dilhi,Dilli,Dillí,Dillī,Dähli,Déhli,Faritani Delhi,New Delhi,Old Delhi,Sahdzahanabad,Stare Deli,de li,dehali,deli,delli,deri,dhilli,dhly,dhly qdym,dil'hi,dili,dilli,dlhy,dly,dlھy,dylhy,na'i dilli,prany dہly,tilli,Šáhdžahanabád,Δελχί,Дели,Делхи,Делі,Деҳли,Дэлі,Старе Делі,Դելի,דלהי,דעלהי,دلهي,دلھی,دلی,دهلي,دهلی قدیم,ديلهى,دہلی,دێھلی,پرانی دہلی,ډېلي,ދިއްލީ,दिल्ली,देहली,नई दिल्ली,দিল্লি,দিল্লী,ਦਿੱਲੀ,દિલ્હી,ଦିଲ୍ଲୀ,தில்லி,ఢిల్లీ,ದೆಹಲಿ,ഡെൽഹി,เดลี,დელი,デリー,德里,델리",28.65195,77.23149,IN,11034555,Asia/Kolkata,330,1,delhi-in,
1791247,Wuhan,Wuhan,"Bu-han-chhi,Bú-hàn-chhī,Gouchan,Owhan,U-hang,Uhan,Uhana,Uhanas,Uhaņa,Ukhan,Ukhan',Uxan,Vu Han,Vu-hon-su,Vuhan,Vuhani,Vuhano,Vujhan,Vukhan,Vú-hon-sṳ,Vũ Hán,WUH,Wu-chan,Wu-han-shih,Wuhan,Wuhan Shi,uhan si,ukhani,uuxan,vuhana,vukan,vukhana,wu han,wu han shi,wwhan,xu han,Ū-háng,Γουχάν,Вухан,Вухан балһсн,Ухан,Ухань,Үkhan',Үхань,Үһән,Ուհան,ווהאן,ووهان,ووھان,ووہان,ۋۇخەن شەھىرى,ܘܘܗܐܢ,वूहान,ਵੂਖ਼ਨ,வுகான்,വൂഹാൻ,อู่ฮั่น,ཝུའུ་ཧན་གྲོང་ཁྱེར།,ဝူဟန့်မြို့,უხანი,ዉሃን,武汉,武汉市,武漢,武漢市,우한 시,𐍅𐌿𐌷𐌰𐌽",30.58333,114.26667,CN,10392693,Asia/Shanghai,480,1,wuhan-cn,
524901,Moscow,Moscow,"MOW,Maeskuy,Maskav,Maskava,Maskva,Mat-xco-va,Matxcova,Matxcơva,Mosca,Moscfa,Moscha,Mosco,Moscou,Moscova,Moscovo,Moscow,Moscoƿ,Moscu,Moscua,Moscòu,Moscó,Moscù,Moscú,Moskva,Moska,Moskau,Mosko,Moskokh,Moskou,Moskov,Moskova,Moskovu,Moskow,Moskowa,Mosku,Moskuas,Moskva,Moskvo,Moskwa,Moszkva,Muskav,Musko,Mát-xcơ-va,Mòskwa,Məskeu,Məskəү,masko,maskw,mo si ke,moseukeuba,mosko,mosukuwa,mskw,mwskva,mwskw,mwsqbh,mx s ko,Μόσχα,Мæскуы,Маскав,Масква,Москва,Москова,Москох,Москъва,Мускав,Муско,Мәскеу,Мәскәү,Մոսկվա,מאָסקװע,מאסקווע,מוסקבה,ماسکو,مسکو,موسكو,موسكۋا,ܡܘܣܩܒܐ,मास्को,मॉस्को,মস্কো,மாஸ்கோ,มอสโก,མོ་སི་ཁོ།,მოსკოვი,ሞስኮ,モスクワ,莫斯科,모스크바",55.75222,37.61556,RU,10381222,Europe/Moscow,180,1,moscow-ru,
1185241,Dhaka,Dhaka,"DAC,Daaka,Daca,Dacca,Daka,Dakah,Dakk,Dakka,Dakkae,Dakke,Dako,Deka,Dgaka,Dhaka,Dháka,Dhâkâ,Dəkkə,Mujib City,Ntaka,Ntakka,da ka,daka,dakka,dhaka,dhakka,dka,takka,thaka,Ντάκα,Ντάκκα,Даака,Дака,Даккæ,Дакка,Дакке,Дгака,Դաքքա,דאקא,דאקה,داكا,داکا,دكا,ڈھاکہ,ޑާކާ,ढाका,ঢাকা,ਢਾਕਾ,ઢાકા,ଢାକା,டாக்கா,ఢాకా,ಢಾಕಾ,ഢാക്ക,ඩකා,ธากา,དྷ་ཁ།,ဒါကာမြို့,დაკა,ዳካ,ダッカ,达卡,達卡,다카",23.7104,90.40744,BD,10356500,Asia/Dhaka,360,1,dhaka-bd,
1835848,Seoul,Seoul,"Hanyang,SEL,Seoel,Seol,Seoul,Seoul-si,Seuel,Seul,Seula,Seulas,Seulo,Seulum,Seúl,Seül,Siul,Soeul,Sol,Soul,Sye-ul,Syou-ouen,Szoeul,Szöul,Séoul,Sêûl,Söul,Sŏul,Wang-ching,Wo-jo,Wō-jō,ciyol,gyeongseong,han-yang,hanseong,saul,seoul,seoulsi,seoulteugbyeolsi,seuli,shou er,shou er te bie shi,si'ula,siyola,sol,sola,souru,souru te bie shi,sywl,Σεούλ,Сеул,Соул,Сөүл,Սեուլ,סאול,סיאול,סעאל,سئول,سيول,سیول,سێئول,سېئول,सियोल,सोल,সিউল,சியோல்,ಸೌಲ್,സോൾ,โซล,སེ་ཨུལ།,ဆိုးလ်မြို့,სეული,ሶል,សេអ៊ូល,ソウル,ソウル特別市,首尔,首尔特别市,首爾,경성,서울,서울시,서울특별시,한성,한양",37.566,126.9784,KR,10349312,Asia/Seoul,540,1,seoul-kr,
1850147,Tokyo,Tokyo,"Edo,TYO,Tochiu,Tocio,Tokija,Tokijas,Tokio,Tokió,Tokyo,Toquio,Tòquio,Tókýó,Tóquio,Tōkyō,dokyo,dong jing,dong jing dou,dong-gyeong,tokeiyw,toki'o,tokkiyo,tokyo,twkyw,twqyw,Τόκιο,Токио,Токіо,Տոկիո,טוקיו,توكيو,توکیو,طوكيو,ܛܘܟܝܘ,ܜܘܟܝܘ,टोक्यो,টোকিও,டோக்கியோ,โตเกียว,ტოკიო,东京,東京,東京都,도쿄,동경",35.6895,139.69171,JP,9733276,Asia/Tokyo,540,2,tokyo-jp,
1812545,Dongguan,Dongguan,"Deng-uang,Dongguan,Dongguan City,Dongwen shehiri,Dunguan,Dunguan',Dĕ̤ng-uāng,GJong Hoan,Ntonkouan,Tong-koan-chhi,Tong-kóan-chhī,Tung-kon-su,Tung-kuan,Tungkuan,Tungkun,Tûng-kón-sṳ,XHO,dong guan,dong guan shi,dong wan shi,donggu'ana,dung-gwan si,dwnghqwan,dwngwan,tonkuvan,Đông Hoản,Ντογκουάν,Донггуан,Дунгуан,Дунгуань,Дунґуань,דונגגוואן,دونغقوان,دونگوان,ڈwngwan,ڈونگ گوآن,ڈونگوان,डोंग्गूआन,டொங்குவான்,东莞,东莞市,東莞,東莞市,둥관 시",23.01797,113.74866,CN,9644871,Asia/Shanghai,480,2,dongguan-cn,
360630,Cairo,Cairo,"Al Qahirah,Al Qāhirah,CAI,Caire,Cairo,Cairu,Cairus,Caïro,El Caire,El Cairo,El Kahira,El Kahirah,El-Qahira,El-Qâhira,Il Cairo,Kaherah,Kahira,Kahirae,Kahire,Kahirä,Kair,Kaira,Kairas,Kairo,Kairó,Kajro,Kayro,Kaíró,Kaïro,Káhira,Le Caire,Lo Cayiro,Lungsod ng Cairo,Masr,Misr,O Cairo,Qahirə,alqahrt,kai luo,kailo,kairo,kayaro,keyro,khiro,qahrh,qhyr,Ël Cairo,Ël Càiro,Κάιρο,Каир,Каиро,Кайро,Каїр,קהיר,القاهرة,قاهره,قاھىرە,قاہرہ,কায়রো,கெய்ரோ,ไคโร,ཁ་ཡི་རོ,ქაირო,ካይሮ,カイロ,开罗,開羅,카이로",30.06263,31.24967,EG,9606916,Africa/Cairo,180,2,cairo-eg,
1790630,Xi’an,Xi'an,"Ch'ang-an,Ch'ang-an-hsien,Ch’ang-an,Ch’ang-an-hsien,Hsi Gnan Fu,Hsi-an,Hsi-an-shih,Hsi-ching,Hsi-ching-shih,Hsingan,SIA,Si-Gan-Fu,Sian,Sian',Siana,Sianas,Sianfu,Siano,Siaņa,Siking,Singan,Singano,Sjan,Tay An,Tây An,Xi'an,Xi'an - xi an,Xi'an Shi,Xian,Xi’an,Xi’an Shi,Xī'ān,si xan,sian si,xi an,xi an shi,Ŝiano,Ŝingano,Šjan,Сиань,شىئەن شەھىرى,ซีอาน,西安,西安市,시안 시",34.25833,108.92861,CN,9600000,Asia/Shanghai,480,2,xian-cn,
993800,Johannesburg,Johannesburg,"EGoli,Giochanesmpournk,IGoli,IJohannesburg,Ioannesburgum,JNB,Jo'anna,Joanesburgo,Joburg,Jog'annesburg,Joganesburg,Jogannesburg,Johanesburgas,Johanesburgo,Johannesarborg,Johannesbourg,Johannesburg,Johannesburga,Johannesburgo,Johannesburgu,Jokhanesburg,Jokhanezburg,Jokhannesburg,J·ohanesbôrg,Jóhannesarborg,Xohanesburgo,Yohannesburg,Yohannesburq,Yohannésburg,Yok-hon-ni-su-pau,Yok-hon-nì-sṳ̂-páu,Yoxannesburg,cohannes beirk,iohanesburgi,johanisabaraga,johannesbarga,johansabarga,jokanasperk,jwhansbrgh,yohaneseubeogeu,yohanesuburugu,yue han nei si bao,yue han ni si bao,ywhnsbwrg,zhwhansbwrg,Γιοχάνεσμπουργκ,Ёганесбург,Јоханезбург,Јоханесбург,Йоганнесбург,Йогьаннесбург,Йоханесбург,Йоханнесбург,Յոհաննեսբուրգ,יאהאנעסבורג,יוהנסבורג,جوهانسبرغ,جوہانسبرگ,جۆھانسبێرگ,ژوهانسبورگ,یوہانس برگ,जोहन्नेस्बर्ग,जोहान्सबर्ग,ਜੋਹਾਨਿਸਬਰਗ,ஜோகானஸ்பேர்க்,ജൊഹാനസ്‌ബർഗ്,โจฮันเนสเบิร์ก,ဂျိုဟန္နက်စဗတ်မြို့,იოჰანესბურგი,ጆሃንስበርግ,ヨハネスブルグ,約翰尼斯堡,约翰内斯堡,요하네스버그",-26.20227,28.04363,ZA,9418183,Africa/Johannesburg,120,2,johannesburg-za,
